NEUCourse,TransferCourse,EffectiveDates,NUCore,NUPath,FICE
ARCH3155 - Studio Abroad,ARH  255,,,,007531
ARCH1990 - Elective,LA   219,,,,007531
BIOL1117 -  and BIOL1118 -  and BIOL1119 -  and BIOL1120 -,BIO 204,,Science/Technology 1,NUpath Analyzing/Using Data,002666
CHEM1211 - General Chemistry 1 and CHEM1212 - Lab for CHEM 1211,CHE 111,,Science/Technology 1,NUpath Natural/Designed World,002666
CHEM1214 - General Chemistry 2 and CHEM1215 - Lab for CHEM 1214,CHE 112,,,NUpath Natural/Designed World,002666
CHNS1101 - Elementary Chinese 1,CHI 111,,,,002666
COMM1990 - Elective,COM 225,,,,002666
ENGW1111 - First-Year Writing,ENG 107,Full Summer 2015 to the present,First year writing,NUpath 1st Yr Writing,002666
ENGW3990 - Elective,ENG 108,,,,002666
THTR1990 - Elective,ENG 301,,,,002666
NO TRANSFER -,ESC 104,,,,002666
SOCL1990 - Elective,GEN 110,Full Summer 2015 to the present,,,002666
ITLN2990 - Elective,ITA 112,,,,002666
MGSC2301 - Business Statistics,MTH 113,Full Summer 2015 to the present,Math 2,NUpath Analyzing/Using Data,002666
MATH1120 - Precalculus,MTH 140,,,,002666
MATH1341 - Calculus 1 for Sci/Engr,MTH 141,,Math 1,NUpath Formal/Quant Reasoning,002666
NO TRANSFER -,PES 224,,,,002666
PSYC3404 - Developmental Psychology,PIA 114,,,,002666
POLS1150 - American Government,POL 101,Full Summer 2015 to the present,Social Sciences 1,NUpath Societies/Institutions,002666
SPNS1990 - Elective,SPA 111,,,,002666
SPNS1101 - Elementary Spanish 1,SPA 111 and SPA 112,Fall 2017 to the present,,,002666
NO TRANSFER -,SPA 112,Full Summer 2015 to the present,,,002666
NO AP CREDIT -,,,,,900568
NO AP CREDIT -,,,,,900568
AFAM1101 - Intro African American Studies,AFRICAN AMER ST,,Comparative Cultures,NUpath Difference/Diversity,900568
ARTF1220 -  and ARTF1990 - Elective,ART 2D DESIGN,,,,900568
ARTF1230 -  and ARTF1990 - Elective,ART 3D DESIGN,,,,900568
ARTH1990 - Elective,ART HISTORY,,,,900568
ARTF1200 -  and ARTF1990 - Elective,ART-DRAWING,,,,900568
NO AP CREDIT -,AURAL SUBSCR,,,,900568
