FICE,college
002477,A. T. Still University of Health Sciences
003537,Abilene Christian University
F00380,"Abu Dhabi University, UAE"
007531,Academy of Art University
F00371,Academy of National Economy (Russian Federation)
F00108,Acadia University
F10014,Accademia Italiana
001345,Adams State College
002666,Adelphi University
900568,Advanced Placement (admitted FL2024 & SP2025)
031155,Adventist University of Health Sciences
001542,Agnes Scott College
F00327,"Agricultural & Forestry University of Ho Chi Minh City,China"
010056,Aiken Technical College
007582,Aims Community College
F00297,"Al Akhawayn University, Spain"
001005,Alabama State University
005463,Alamance Community College
006720,"Alameda, College of"
001061,Alaska Pacific University
002885,Albany College of Pharmacy
001374,Albertus Magnus College
002235,Albion College
003229,Albright College
005544,Alexandria Technical and Community College
F00337,"Alexandria University SSP, Egypt"
F00619,"Alfaisal University, Saudi Arabia"
002668,Alfred University
F01013,All India Senior School Certificate Exam - CBSE
001111,Allan Hancock College
003230,Allegheny College
011117,Alliant International University
002237,Alpena Community College
003233,Alvernia College
003539,Alvin Community College
F00576,American Business School Paris
F00195,"American College Dublin, Ireland"
F00564,American College of Dubai
F00043,American College of Greece
F00050,"American College of Thessaloniki, The"
F00058,American InterContinental University
002114,American International College
002741,American Jewish University
038193,American Public University System
001232,American River College
001434,American University
F10021,American University in Bulgaria
F00024,American University in Cairo
F00044,American University in Dubai (United Arab Emirates)
F00334,"American University of Athens, The - Greece"
F00036,American University of Beirut
F00121,American University of Kuwait
F00030,"American University of Paris, The"
F00373,American University of Rome
F00054,American University of Sharjah (UAE)
002115,Amherst College
001785,Anderson University
009292,Andover College
002238,Andrews University
006661,Angelina College
F00427,"Anglo American University, Czech Republic"
002117,Anna Maria College
F01025,"Anna University, India"
002058,Anne Arundel Community College
002332,Anoka-Ramsey Community College (all locations)
001113,Antelope Valley College
003010,Antioch College
000005,APL - Lifelong Learning
007544,Appalachian Bible College
002906,Appalachian State University
F00728,"Aquincum Institute of Technology, Hungary"
F00173,Arab Academy for Science & Technology and Maritime Transport
F00330,"Arab International University, Syria"
001346,Arapahoe Community College
F00946,"Arava Institute for Environmental Studies, Israel"
F00096,"Arba Minch Water Technology Institute, (Ethiopia)"
003235,Arcadia University
F00114,Aristotelian University of Thessaloniki (Greece)
010847,Arizona Automotive Institute
001081,Arizona State University
F00097,"Armenian State Engineering University, The (Armenia)"
001546,Armstrong Atlantic State University
001116,Art Center College of Design
010195,Art Institute of Fort Lauderdale
017163,Art Institute of New York City (Non-Transferable)
040513,"Art Institute of Phoenix, PHOENIX CAMPUS"
007470,"Art Institute of Pittsburgh, The"
004033,Asheville-Buncombe Technical Community College
003012,Ashland University
011150,Asnuntuck Community College
002118,Assumption College
F00354,"Assumption University, Thailand"
F00447,"Aston University, United Kingdom"
F00166,"Ateneo De Manila University, Philippines"
F00115,Athabasca University
005600,Athens Technical College
002596,Atlantic Cape Community College
002119,Atlantic Union College
001009,"Auburn University, (Main Campus)"
002334,Augsburg College
001552,Augusta State University
001633,Augustana College
003543,Austin College
012015,Austin Community College
003478,Austin Peay State University
F00164,Australian Catholic University
F00756,Australian National University
003702,Averett University
001117,Azusa Pacific University
002121,Babson College
F00033,"Baewha Women's College, South Korea"
F00534,"Baha'i Institute for Higher Education, Iran"
F00217,"Bahir Dar University, Ethiopia"
001903,Baker University
001118,Bakersfield College
001786,Ball State University
002061,Baltimore City Community College
002060,Baltimore Hebrew University
G09143,"Bar-Ilan University, Israel"
002671,Bard College (NY)
009645,Bard College at Simon's Rock
002708,Barnard College
001466,Barry University
001119,Barstow Community College
004608,Barton Community College
002036,Bates College
037303,Baton Rouge Community College
002240,Bay de Noc Community College
030666,Bay Mills Community College
002122,Bay Path University
003965,Bay State College
003545,Baylor University
002123,Becker College
F01019,"Beihang University, China"
F00247,Beijing Foreign Studies University
F00575,Beijing Forestry University
F00529,"Beijing Institute of Technology, China"
F00244,"Beijing International Studies University, China"
F00616,Beijing Jiaotong University
F00467,"Beijing Normal University - Zhuhai, China"
F00387,"Beijing Normal University, China"
F00314,"Beijing Sport University, China"
F00381,"Beijing Technology and Business University, China"
F00420,"Beijing University of Chemical Technology, China"
F00440,Beijing University of Civil Engineering & Architecture
F00615,Beijing University of Posts and Telecommunications
F00175,"Beijing University of Technology, China"
F00104,"Belarus State University, Belarus"
F00109,"Belarusian State Economic University, Belarus"
F00110,"Belarusian State Technological University, Belarus"
002397,Belhaven University
001954,Bellarmine University
003769,Bellevue College
002910,Belmont Abbey College
003479,Belmont University
003835,Beloit College
002336,Bemidji State University
010256,Benedictine College
001767,Benedictine University
002151,Benjamin Franklin Institute of Technology
003682,Bennington College
002124,Bentley University
001955,Berea College
004736,Bergen Community College
014311,Berkeley City College
007502,Berkeley College - Garret Mountain Campus
008556,Berkeley College - New York City Campus
009126,Berkeley College - Paramus Campus
007421,Berkeley College - Westchester (White Plains) Campus
017011,Berkeley College - Woodbridge Campus
002126,Berklee College of Music
002167,Berkshire Community College
F00093,Bermuda College
001544,Berry College
003808,"Bethany College, West Virginia"
002337,Bethany Lutheran College
001121,Bethany University
002338,Bethel University
001467,Bethune Cookman College
005733,Bevill State Community College
F00448,"BI Norwegian Business School, Norway"
003770,Big Bend Community College
001122,Biola University
F00522,"Birla Institute of Technology and Science, India"
001012,Birmingham-Southern College
F00927,"Bishop's University, Canada"
002988,Bismarck State College
005390,Blackhawk Technical College
003549,"Blinn College, all campuses"
002597,Bloomfield College
003315,Bloomsburg University
F00261,"Blue Hill College, Ecuador"
003186,"Blue Mountain Community College, Oregon"
006819,Blue Ridge Community College (Virginia)
005244,Bluegrass Community & Technical College
003421,Bob Jones University (Non-Transferable)
X00001,Bob&Tom
F00936,"Bocconi University, Italy"
F00257,"Bogazici University, Istanbul"
001616,Boise State University
F10003,"Bond University, Australia"
012033,Bossier Parish Community College
003966,Boston Architectural College
002128,Boston College
002129,"Boston Conservatory, The"
002130,Boston University
002038,Bowdoin College
003018,Bowling Green State University
001641,Bradley University
002133,Brandeis University
001556,Brenau University
002912,Brevard College (NC)
020757,Briarcliffe College
002183,Bridgewater State University
003670,Brigham Young University
002176,Bristol Community College
F00042,British American College London
008404,Brookdale Community College
002862,Broome Community College
001500,Broward College
003401,Brown University
021707,Brunswick Community College
004749,Bryant & Stratton College
003402,Bryant University
011510,Bryman Institute
003228,Bryn Athyn College of the New Church
003237,Bryn Mawr College
F00151,BSIB CESEM - Reims Management School (France)
F00152,BSIB DCU - Dublin City University
F00153,BSIB ESB - European School Business Reutlingen Uni (Germany)
F00963,"BSIB ESSEC Business School, France"
F01000,"BSIB ESSEC Business School, Singapore"
F00492,"BSIB FGV - Fundacao Getulio Vargas, Escola de Administracao"
F00491,BSIB HKBU - Hong Kong Baptist University
F00490,"BSIB HKU - University of Hong Kong, The, China"
F00493,"BSIB HKUST - Hong Kong Uni. of Science Technology, China"
F00154,BSIB ICADE - Universidad Pontificia Comillas
F00964,"BSIB IESEG School of Management, France"
F00494,"BSIB LUMS - Lancaster University Management School, UK"
F00489,"BSIB PKU - Peking University, China"
F00495,"BSIB RIKKYO - Rikkyo University, Japan"
F00496,"BSIB SJTU - Shanghai Jiao Tong University, China"
F00497,"BSIB SZU - Shenzhen University, China"
F00155,BSIB UCSC- Universita Cattolica Del Sacro Curore - Italy
F00156,BSIB UDLA- Universidad de las Americas Puebla
F00862,"BTK University of Art and Design, Germany"
003238,Bucknell University
003239,Bucks County Community College
F00120,Budapest University of Technology and Economics
F00553,Buenos Aires Technology Institute
999999,Bulk Credit
011210,Bunker Hill Community College
F00568,Burgundy School of Business
001906,Butler County Community College
001788,Butler University
008073,Butte College
001124,Cabrillo College
003241,Cabrini College
003351,Cairn University
F00101,Cairo University
299999,CAL Campus - No Transfer All Courses
001143,Cal Poly State University (San Luis Obispo)
002598,Caldwell College
001013,Calhoun Community College
001125,California Baptist University
001127,California College of the Arts
001131,California Institute of Technology
001132,California Institute of the Arts
001133,California Lutheran University
001144,California State Polytechnic University - Pomona
001146,California State University - Chico (CSU Chico)
001141,California State University - Dominquez Hills
001147,California State University - Fresno
001137,California State University - Fullerton
001140,California State University - LA (CSU LA)
001139,California State University - Long Beach
001150,California State University - Sacramento
030113,California State University - San Marcos
001157,California State University - Stanislaus
001138,"California State University, East Bay"
001153,"California State University, Northridge"
001142,"California State University, San Bernadino"
007993,California State Universtiy - Bakersfield
032603,California State Univesity - Monterey Bay
003316,California University of Pennsylvania
002241,Calvin College
021829,Cambridge College
F00979,Cambridge Pre-U
006865,Camden County College
003150,"Cameron University, Oklahoma"
002913,Campbell University
001959,Campbellsville University
006973,Canada College
F00367,"Canadian University of Dubai, Dubai"
002681,Canisius College
002168,Cape Cod Community College
005320,Cape Fear Community College
032673,Capella University
007635,Capital Community College
F00514,"Capital Normal University, China"
003023,Capital University
F00309,"Capital University of Economics and Business, China"
F00768,"Cardiff University, Wales"
003837,Cardinal Stritch University
F00377,Caribbean Advanced Proficiency Examination (CAPE)
002340,Carleton College
F00356,"Carleton University, Canada"
003303,Carlow University
003242,Carnegie Mellon University
002526,Carroll College (Montana)
031007,Carroll Community College
003838,Carroll University
008081,Carteret Community College
003839,Carthage College
034835,Cascadia College
003137,Case Western Reserve University
003928,Casper College
003683,Castleton State College
001437,Catholic University of America
F10013,"Catholic University of Korea, The"
002861,Cayuga Community College
002685,Cazenovia College
003243,Cedar Crest College
003025,Cedarville University
F00084,"CEFAM- International School of Bus. and Management, France"
002003,Centenary College of Louisiana
002599,Centenary University
007283,Central Arizona College
005449,Central Carolina Community College
001850,Central College
020995,Central Community College
001378,Central Connecticut State University
001471,Central Florida Community College
002339,Central Lakes College
005276,Central Maine Community College
002243,Central Michigan University
004742,Central New Mexico Community College
003188,Central Oregon Community College
002915,Central Piedmont Community College
004003,Central Texas College - Killeen
F00416,"Central University of Finance and Economics, China"
004988,Central Virginia Community College
003771,Central Washington Univesity
007289,Central Wyoming College
001961,Centre College
F00395,"Centro De Ensenanza Tecnica Y Superior (CETYS), Mexico"
F00917,"Centro de Estudios, Spain"
F00190,Centro de Lenguas Modernas de la Universidad de Granada
010546,"Century College, (Minnesota)"
001161,Cerritos College
010111,Cerro Coso Community College
F10063,"CET Prague, Czech Republic"
001162,Chabot College
001163,Chaffey College
006385,Chamberlain University
001605,Chaminade University of Honolulu
003684,"Champlain College, VT"
030722,Chandler-Gilbert Community College
F00577,Chang'an University
F00287,"Changchun Taxation College, China"
F00343,"Changzhi College, China"
001164,Chapman University
002261,Charles Stewart Mott CC
F00066,"Charles University, Czech Republic"
032343,Charter Oak State College
003998,Chatanooga State Technical CC
003244,Chatham College
F00340,"Chelyabinsk State Teaching Pedagogical University, Russia"
003218,Chemeketa Community College
F00123,Cheng Shiu University (Taiwan (R.O.C)
F00412,"Chengdu Sport Univesity, China"
F00446,"Chengdu University of Technology, China"
004650,Chesapeake College
004733,Chester College of New England (NH) (fmrly White Plains C)
003245,Chestnut Hill College
F00465,"Chihlee Institute of Technology, Taiwan"
F00015,Chin Min College (Taiwan)
F00525,"China Agricultural University, China"
